               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11976,             0.12571,            0.051345,           0.0011364,              0.0625,           0.0010568,          0.00010568,             0.13165,            0.068873,            0.053696,              0.0003,              0.0003,              0.0973
                   1,             0.11863,             0.11547,            0.051283,            0.003201,              0.1875,           0.0026006,          0.00097081,             0.12827,            0.072432,            0.052805,          0.00069769,          0.00069769,            0.093698
                   2,             0.11542,             0.11532,            0.050052,           0.0060585,             0.14286,            0.005409,           0.0015172,             0.12432,            0.076162,            0.051602,           0.0010927,           0.0010927,            0.090093
                   3,             0.10856,             0.11521,            0.050137,           0.0080563,             0.16071,           0.0091987,           0.0018397,             0.11701,            0.082505,            0.049788,           0.0014851,           0.0014851,            0.086485
                   4,             0.10496,              0.1506,            0.048021,           0.0043769,             0.14286,            0.015585,           0.0046754,             0.10952,            0.088276,            0.047674,           0.0018749,           0.0018749,            0.082875
                   5,            0.091892,             0.11495,             0.04252,           0.0073682,             0.39286,            0.022519,            0.003546,             0.10454,            0.091836,            0.045887,           0.0022621,           0.0022621,            0.079262
                   6,            0.094281,             0.18171,            0.044804,             0.01871,             0.58036,             0.06672,            0.019396,            0.092326,            0.097736,            0.042672,           0.0026465,           0.0026465,            0.075647
                   7,            0.091278,             0.11613,            0.044858,            0.024147,             0.80357,             0.15334,            0.034118,            0.082761,             0.10177,            0.039405,           0.0030284,           0.0030284,            0.072028
                   8,            0.086698,             0.13644,            0.041568,             0.17424,             0.23214,             0.26653,             0.11503,            0.074225,             0.10214,            0.036434,           0.0034076,           0.0034076,            0.068408
                   9,            0.079422,             0.13258,            0.036212,             0.21195,             0.71429,             0.29545,             0.14766,            0.070241,             0.10122,            0.033953,           0.0037842,           0.0037842,            0.064784
                  10,            0.086044,             0.13163,            0.038232,             0.15964,                0.75,             0.33017,             0.18114,            0.068143,             0.10385,            0.031469,           0.0041581,           0.0041581,            0.061158
                  11,            0.075315,             0.12305,            0.033687,             0.31386,             0.54464,             0.43395,             0.11743,            0.065501,             0.12037,            0.028917,           0.0045294,           0.0045294,            0.057529
                  12,             0.07854,             0.11546,            0.034905,             0.61103,             0.54963,             0.53647,             0.18871,            0.060706,             0.13668,            0.026865,            0.004898,            0.004898,            0.053898
                  13,             0.07549,             0.10742,            0.033267,            0.072067,              0.6875,             0.17686,            0.067167,            0.063261,             0.15887,            0.024341,            0.005264,            0.005264,            0.050264
