               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.059704,             0.08636,            0.020909,             0.72233,             0.96547,             0.89734,             0.41879,            0.044364,            0.092012,            0.019349,           0.0082675,           0.0082675,           0.0082675
                  37,            0.058873,             0.12223,            0.020869,              0.7029,             0.95497,             0.96565,             0.41805,            0.041836,             0.11927,            0.018896,            0.008218,            0.008218,            0.008218
                  38,            0.049448,              0.1156,            0.020224,              0.7063,             0.98754,              0.9432,             0.56183,            0.035221,            0.073258,            0.018203,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044841,            0.081328,            0.019541,              0.7641,                   1,             0.94498,             0.56143,            0.034969,            0.075355,            0.017999,            0.008119,            0.008119,            0.008119
                  40,            0.043675,            0.080572,            0.019794,             0.75704,                   1,             0.92031,             0.55615,            0.034544,            0.076184,            0.017746,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041285,            0.071969,            0.019272,             0.77186,             0.98719,             0.92646,             0.56525,            0.031939,             0.07314,            0.017514,             0.00802,             0.00802,             0.00802
                  42,             0.04164,            0.084725,            0.019761,             0.75847,             0.87246,              0.9134,             0.58387,            0.031187,            0.069734,            0.017113,           0.0079705,           0.0079705,           0.0079705
                  43,            0.043185,            0.084942,            0.018178,              0.6373,             0.79785,             0.83132,             0.41855,            0.045564,            0.073978,            0.016965,            0.007921,            0.007921,            0.007921
                  44,            0.056181,            0.085037,            0.018805,              0.7837,             0.83532,             0.90059,             0.63189,            0.036042,            0.057098,             0.01671,           0.0078715,           0.0078715,           0.0078715
                  45,            0.053234,            0.079228,            0.018141,             0.59006,             0.99091,             0.92451,             0.47891,            0.037088,             0.05669,            0.016383,            0.007822,            0.007822,            0.007822
                  46,            0.046777,            0.084843,            0.017709,             0.79583,               0.993,             0.96799,             0.70464,            0.028165,             0.05224,            0.015975,           0.0077725,           0.0077725,           0.0077725
                  47,            0.042207,             0.07945,            0.017852,             0.81384,             0.93896,             0.97812,             0.68636,            0.026487,            0.050471,            0.015726,            0.007723,            0.007723,            0.007723
                  48,             0.03983,            0.067213,            0.017494,             0.80446,             0.94871,             0.97828,              0.7589,            0.026386,             0.05021,            0.015503,           0.0076735,           0.0076735,           0.0076735
                  49,            0.037038,             0.06968,             0.01757,             0.80685,             0.95909,             0.97783,             0.76014,            0.026544,            0.051036,            0.015339,            0.007624,            0.007624,            0.007624
                  50,            0.036879,             0.06608,            0.016397,              0.7646,             0.95909,             0.97574,              0.7581,            0.032362,            0.057871,            0.014994,           0.0075745,           0.0075745,           0.0075745
                  51,            0.052209,            0.078775,            0.016223,             0.57078,             0.72174,             0.69257,             0.22678,            0.052216,            0.066667,            0.014919,            0.007525,            0.007525,            0.007525
                  52,            0.065198,            0.087744,            0.016478,             0.77939,             0.91727,             0.94609,             0.46074,            0.041935,            0.055034,            0.014532,           0.0074755,           0.0074755,           0.0074755
                  53,            0.051966,            0.086955,            0.016468,              0.7944,             0.94091,             0.97673,              0.6833,            0.031227,            0.052668,            0.014136,            0.007426,            0.007426,            0.007426
                  54,            0.042709,            0.086934,             0.01536,              0.9405,             0.94398,             0.98596,             0.74417,            0.027562,            0.052549,            0.013822,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040152,            0.071386,            0.015379,             0.99002,             0.96613,             0.99086,             0.78057,            0.023588,            0.050824,             0.01365,            0.007327,            0.007327,            0.007327
                  56,            0.035153,            0.067733,            0.015004,             0.98921,              0.9542,             0.99071,             0.78668,            0.024274,            0.050641,            0.013451,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033845,              0.0645,            0.015068,             0.98729,             0.95953,             0.98995,             0.74728,             0.02396,            0.049907,            0.013303,            0.007228,            0.007228,            0.007228
                  58,            0.036083,            0.068203,            0.014964,             0.97564,             0.97825,             0.99104,             0.78658,            0.024786,            0.049235,            0.012982,           0.0071785,           0.0071785,           0.0071785
                  59,            0.043599,            0.073896,            0.015293,             0.78671,             0.99615,             0.98452,             0.44767,            0.040513,            0.060681,            0.013111,            0.007129,            0.007129,            0.007129
                  60,            0.048894,            0.076188,            0.014656,             0.94332,             0.96488,             0.99014,             0.57794,            0.031486,            0.062456,            0.013093,           0.0070795,           0.0070795,           0.0070795
                  61,            0.045992,            0.087073,            0.014665,             0.98049,                   1,               0.995,             0.74136,            0.026084,            0.058184,            0.012753,             0.00703,             0.00703,             0.00703
                  62,            0.041716,            0.086809,            0.014212,             0.97065,             0.99091,              0.9945,             0.75337,            0.025097,            0.050754,            0.012763,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035322,            0.069123,            0.013582,             0.98028,                   1,               0.995,              0.7266,             0.02371,            0.044879,            0.012661,            0.006931,            0.006931,            0.006931
                  64,            0.032133,            0.062874,             0.01443,             0.98129,                   1,               0.995,             0.76014,             0.02223,            0.044088,            0.012504,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032146,            0.064974,             0.01399,             0.98121,                   1,               0.995,             0.79849,            0.020211,            0.042645,             0.01237,            0.006832,            0.006832,            0.006832
                  66,            0.031672,            0.062582,            0.013159,             0.89551,                   1,               0.995,             0.67846,            0.033402,            0.053918,            0.012289,           0.0067825,           0.0067825,           0.0067825
                  67,            0.044026,             0.07359,            0.012369,             0.94574,                   1,             0.99477,             0.51888,            0.031696,            0.051314,            0.011817,            0.006733,            0.006733,            0.006733
                  68,            0.050205,            0.080576,            0.012991,             0.87662,                   1,              0.9921,              0.7541,            0.031581,            0.050691,            0.011843,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043853,            0.065593,            0.013422,             0.87015,                   1,             0.92967,             0.69665,            0.024891,            0.047488,            0.011503,            0.006634,            0.006634,            0.006634
                  70,            0.037282,            0.063875,            0.012736,             0.91057,                   1,              0.9677,             0.72192,            0.023221,            0.046881,            0.011319,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036499,            0.063057,            0.012244,             0.98758,                   1,               0.995,             0.80956,            0.018917,            0.045562,            0.011146,            0.006535,            0.006535,            0.006535
                  72,            0.031129,            0.062837,            0.012081,             0.98204,                   1,               0.995,             0.82522,            0.019315,            0.044681,            0.011067,           0.0064855,           0.0064855,           0.0064855
                  73,            0.029277,            0.060337,            0.012285,             0.98017,             0.96597,             0.99186,             0.82655,            0.021777,            0.045543,            0.010965,            0.006436,            0.006436,            0.006436
                  74,            0.029651,            0.058762,            0.011694,              0.9523,                   1,             0.99452,             0.78789,            0.022895,            0.044865,            0.010584,           0.0063865,           0.0063865,           0.0063865
                  75,             0.04056,            0.066649,            0.011981,             0.87619,                   1,               0.995,              0.5749,            0.036758,            0.059018,            0.010585,            0.006337,            0.006337,            0.006337
                  76,            0.054501,            0.083326,            0.011653,             0.97491,                   1,               0.995,             0.67339,            0.028228,            0.053528,             0.01029,           0.0062875,           0.0062875,           0.0062875
                  77,            0.040285,            0.063556,             0.01169,             0.91505,                   1,             0.98633,             0.74558,             0.02057,            0.047732,            0.010023,            0.006238,            0.006238,            0.006238
                  78,            0.034882,            0.060415,            0.011131,             0.98478,                   1,               0.995,             0.75527,             0.01805,            0.042915,           0.0099243,           0.0061885,           0.0061885,           0.0061885
                  79,             0.03053,            0.057455,            0.010796,             0.98597,                   1,               0.995,             0.82163,            0.015576,            0.042109,           0.0097096,            0.006139,            0.006139,            0.006139
                  80,            0.028603,            0.058595,            0.011228,             0.98417,                   1,               0.995,             0.84567,             0.01598,             0.04131,           0.0095937,           0.0060895,           0.0060895,           0.0060895
                  81,            0.027385,            0.058383,            0.010726,             0.98475,                   1,               0.995,              0.8319,            0.015646,            0.040851,           0.0094716,             0.00604,             0.00604,             0.00604
                  82,            0.028905,            0.065495,            0.010805,             0.97521,                   1,               0.995,              0.8206,            0.017101,            0.041296,           0.0092456,           0.0059905,           0.0059905,           0.0059905
                  83,            0.036211,             0.06501,            0.010527,             0.78805,                0.99,             0.97779,             0.58514,            0.033815,            0.052836,             0.00906,            0.005941,            0.005941,            0.005941
                  84,            0.041554,            0.071689,            0.010308,             0.98856,                   1,               0.995,              0.6838,            0.021348,            0.046729,           0.0089147,           0.0058915,           0.0058915,           0.0058915
                  85,            0.031317,            0.066202,           0.0099588,             0.92117,                   1,               0.995,              0.7023,            0.025616,            0.048377,           0.0087074,            0.005842,            0.005842,            0.005842
                  86,            0.029786,            0.069961,           0.0098569,             0.99304,                   1,               0.995,             0.82133,            0.016819,            0.042867,           0.0085911,           0.0057925,           0.0057925,           0.0057925
                  87,            0.026145,            0.059065,           0.0099903,             0.94666,                   1,              0.9774,             0.77607,            0.017442,             0.04289,           0.0084884,            0.005743,            0.005743,            0.005743
                  88,            0.022772,            0.052687,           0.0095578,             0.99092,                   1,               0.995,             0.82709,            0.015877,            0.041341,            0.008364,           0.0056935,           0.0056935,           0.0056935
                  89,            0.021484,            0.052792,           0.0097957,             0.98674,                   1,               0.995,             0.83276,            0.014292,            0.039928,            0.008271,            0.005644,            0.005644,            0.005644
                  90,            0.020961,             0.04965,           0.0097962,             0.99275,                   1,               0.995,             0.81056,            0.015907,            0.040192,           0.0081112,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024448,            0.051679,           0.0098743,             0.85836,                   1,             0.98366,             0.74361,            0.023757,            0.047917,           0.0081288,            0.005545,            0.005545,            0.005545
                  92,            0.032854,            0.062592,           0.0094091,               0.932,             0.99623,             0.99496,             0.64059,            0.020143,            0.051513,           0.0080331,           0.0054955,           0.0054955,           0.0054955
                  93,            0.029892,            0.061187,           0.0093575,             0.99142,                   1,               0.995,              0.8644,             0.01736,            0.042191,           0.0078046,            0.005446,            0.005446,            0.005446
                  94,            0.025144,            0.068238,            0.009016,             0.99463,                   1,               0.995,             0.80313,            0.017799,            0.047059,           0.0076985,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022026,            0.062432,           0.0088346,             0.99518,                   1,               0.995,             0.86858,            0.013308,            0.038812,           0.0075492,            0.005347,            0.005347,            0.005347
                  96,            0.020066,            0.054453,           0.0083841,             0.99482,                   1,               0.995,             0.84948,            0.013611,            0.038162,           0.0074009,           0.0052975,           0.0052975,           0.0052975
                  97,            0.019501,             0.05669,           0.0086179,             0.99381,                   1,               0.995,             0.86392,            0.012057,            0.036575,            0.007272,            0.005248,            0.005248,            0.005248
                  98,             0.01815,            0.053543,             0.00806,             0.99361,                   1,               0.995,             0.84767,              0.0176,            0.049449,           0.0070626,           0.0051985,           0.0051985,           0.0051985
                  99,            0.025828,            0.066295,           0.0084137,             0.89332,                   1,             0.90731,             0.64072,            0.026859,            0.049644,           0.0068804,            0.005149,            0.005149,            0.005149
                 100,            0.039433,             0.07552,           0.0080555,             0.99296,                   1,               0.995,             0.77417,            0.020406,            0.056208,           0.0068792,           0.0050995,           0.0050995,           0.0050995
                 101,            0.027599,            0.066352,           0.0076479,             0.98855,                   1,               0.995,             0.85892,             0.01533,            0.043804,           0.0067185,             0.00505,             0.00505,             0.00505
                 102,            0.024689,            0.060591,           0.0077991,             0.98837,                   1,               0.995,             0.87595,            0.017716,             0.04391,           0.0065495,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020776,            0.050326,           0.0078084,             0.98906,                   1,               0.995,             0.85604,            0.015146,            0.041159,           0.0064755,            0.004951,            0.004951,            0.004951
                 104,            0.019896,            0.051709,           0.0071104,             0.98959,                   1,               0.995,             0.83233,              0.0139,            0.040197,           0.0064149,           0.0049015,           0.0049015,           0.0049015
                 105,             0.01906,            0.053836,           0.0076345,             0.97648,                   1,               0.995,              0.8635,            0.011932,            0.036911,           0.0063432,            0.004852,            0.004852,            0.004852
                 106,            0.018004,            0.052469,           0.0073435,             0.98033,                   1,               0.995,              0.8203,            0.016787,            0.043691,           0.0062283,           0.0048025,           0.0048025,           0.0048025
                 107,            0.023192,            0.056357,            0.007017,             0.90963,                   1,             0.99465,             0.81957,            0.019303,            0.044425,            0.006195,            0.004753,            0.004753,            0.004753
                 108,            0.025898,            0.059734,           0.0067995,             0.99012,                   1,               0.995,             0.72215,            0.017786,            0.042797,            0.006123,           0.0047035,           0.0047035,           0.0047035
                 109,            0.030272,            0.067404,           0.0072368,             0.99414,                   1,               0.995,             0.78261,            0.017043,            0.039644,           0.0060247,            0.004654,            0.004654,            0.004654
                 110,            0.024994,            0.051281,            0.007174,             0.99595,             0.99923,               0.995,             0.84383,            0.013426,            0.040239,           0.0059872,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021239,            0.055649,           0.0069258,             0.99339,                   1,               0.995,              0.8955,            0.012804,            0.038791,           0.0058875,            0.004555,            0.004555,            0.004555
                 112,            0.018989,            0.052166,           0.0071546,             0.99259,                   1,               0.995,             0.85254,            0.013296,            0.037334,           0.0057786,           0.0045055,           0.0045055,           0.0045055
                 113,            0.016315,            0.044245,           0.0066862,             0.99293,                   1,               0.995,             0.87063,            0.011697,            0.036709,           0.0056859,            0.004456,            0.004456,            0.004456
                 114,            0.016553,            0.050617,           0.0066931,             0.96923,                0.99,             0.99333,             0.78679,            0.018417,            0.041814,            0.005542,           0.0044065,           0.0044065,           0.0044065
                 115,            0.025957,            0.055074,           0.0063592,             0.99742,             0.99744,               0.995,              0.6634,            0.027345,            0.048916,           0.0055575,            0.004357,            0.004357,            0.004357
                 116,            0.038854,            0.074865,           0.0064211,             0.93147,                   1,              0.9694,             0.75516,            0.021502,            0.040276,           0.0053871,           0.0043075,           0.0043075,           0.0043075
                 117,            0.031361,            0.062268,           0.0065442,             0.91914,                   1,             0.96244,             0.78784,            0.018401,            0.039925,            0.005351,            0.004258,            0.004258,            0.004258
                 118,            0.022825,            0.048018,           0.0063265,              0.9905,                   1,               0.995,             0.87878,            0.014087,            0.036389,           0.0053187,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021282,            0.049035,           0.0064941,             0.99209,                   1,               0.995,              0.9006,            0.012733,            0.038412,           0.0052452,            0.004159,            0.004159,            0.004159
                 120,            0.017914,            0.048634,           0.0062308,             0.99179,                   1,               0.995,             0.91178,            0.010027,            0.035604,           0.0052372,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017212,            0.047824,           0.0064157,             0.99209,                   1,               0.995,             0.91481,           0.0092973,            0.034493,           0.0052147,             0.00406,             0.00406,             0.00406
                 122,            0.017483,            0.046134,           0.0066321,             0.99291,                   1,               0.995,             0.87722,            0.014603,            0.037233,           0.0051559,           0.0040105,           0.0040105,           0.0040105
                 123,            0.022239,            0.053915,            0.005823,             0.90638,                   1,             0.98953,             0.78715,            0.021683,            0.042238,           0.0050864,            0.003961,            0.003961,            0.003961
                 124,            0.031341,            0.058466,           0.0060415,             0.99361,                   1,               0.995,             0.77575,            0.016574,             0.04081,           0.0050316,           0.0039115,           0.0039115,           0.0039115
                 125,            0.024579,            0.057639,           0.0057095,              0.9924,                   1,               0.995,              0.8422,            0.016681,            0.038572,           0.0049249,            0.003862,            0.003862,            0.003862
                 126,            0.020606,            0.053794,           0.0054491,             0.99448,                   1,               0.995,             0.84251,            0.013022,            0.039518,           0.0048985,           0.0038125,           0.0038125,           0.0038125
                 127,            0.018463,            0.049918,           0.0058486,             0.99287,                   1,               0.995,             0.84845,            0.011636,            0.036244,           0.0048353,            0.003763,            0.003763,            0.003763
                 128,            0.017809,            0.046485,            0.005476,             0.99265,                   1,               0.995,             0.85602,            0.012676,            0.037874,           0.0047736,           0.0037135,           0.0037135,           0.0037135
                 129,            0.015496,            0.046491,           0.0056299,             0.99496,                   1,               0.995,             0.91083,            0.010271,            0.036746,           0.0047322,            0.003664,            0.003664,            0.003664
                 130,            0.016351,            0.047637,           0.0056024,             0.99665,                   1,               0.995,             0.89283,             0.01432,             0.03988,           0.0046648,           0.0036145,           0.0036145,           0.0036145
                 131,            0.020948,            0.052083,           0.0055902,             0.99603,                   1,               0.995,             0.70652,            0.022259,            0.048794,           0.0045818,            0.003565,            0.003565,            0.003565
                 132,            0.028471,            0.064689,           0.0052788,             0.99601,                   1,               0.995,             0.85016,            0.014602,            0.036913,           0.0045634,           0.0035155,           0.0035155,           0.0035155
                 133,             0.02883,            0.054935,           0.0053744,              0.9952,                   1,               0.995,             0.87196,            0.011571,            0.037383,           0.0044878,            0.003466,            0.003466,            0.003466
                 134,            0.020852,            0.052777,           0.0053892,             0.99429,                   1,               0.995,             0.86191,            0.012052,            0.034639,           0.0044571,           0.0034165,           0.0034165,           0.0034165
                 135,            0.016368,            0.044023,           0.0053196,             0.99481,                   1,               0.995,             0.90735,           0.0096112,            0.032332,           0.0044452,            0.003367,            0.003367,            0.003367
                 136,            0.014966,             0.04644,           0.0046694,             0.99469,                   1,               0.995,             0.90442,            0.010263,            0.033132,           0.0044149,           0.0033175,           0.0033175,           0.0033175
                 137,            0.014935,            0.046196,            0.005394,             0.99504,                   1,               0.995,             0.90366,           0.0090625,            0.031801,           0.0043763,            0.003268,            0.003268,            0.003268
                 138,            0.015033,             0.04027,           0.0051108,             0.99544,                   1,               0.995,             0.85964,            0.013345,              0.0378,           0.0042142,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019407,            0.050809,           0.0047655,             0.99669,                   1,               0.995,             0.77632,            0.023134,            0.044121,           0.0041194,            0.003169,            0.003169,            0.003169
                 140,            0.030979,              0.0628,           0.0050746,             0.99697,                   1,               0.995,             0.84543,            0.013464,             0.03793,           0.0040461,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020181,            0.047426,           0.0048269,             0.99722,                   1,               0.995,             0.87939,            0.012604,            0.035608,           0.0039814,             0.00307,             0.00307,             0.00307
                 142,            0.018684,            0.050062,           0.0047011,             0.99616,                   1,               0.995,              0.8127,            0.013891,            0.035963,           0.0039333,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017053,            0.044653,            0.004729,             0.99698,                   1,               0.995,             0.87204,            0.011063,            0.033604,           0.0039273,            0.002971,            0.002971,            0.002971
                 144,            0.014468,            0.047957,           0.0045328,              0.9975,                   1,               0.995,             0.89597,            0.010717,            0.033039,           0.0038912,           0.0029215,           0.0029215,           0.0029215
                 145,            0.014726,            0.043635,           0.0046656,              0.9975,                   1,               0.995,             0.89413,            0.010215,            0.032727,           0.0038466,            0.002872,            0.002872,            0.002872
                 146,            0.014374,            0.039938,           0.0048098,             0.99689,                   1,               0.995,             0.84818,            0.013172,            0.034992,           0.0037339,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018511,            0.047404,             0.00456,               0.998,                   1,               0.995,             0.82105,            0.017515,            0.040355,           0.0037125,            0.002773,            0.002773,            0.002773
                 148,            0.023386,            0.053659,           0.0042202,             0.99632,                   1,               0.995,             0.83799,            0.014914,            0.038709,            0.003607,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020371,            0.052234,           0.0043564,             0.99635,                   1,               0.995,             0.88677,            0.012548,            0.035276,           0.0035957,            0.002674,            0.002674,            0.002674
                 150,            0.019134,            0.054876,           0.0047592,             0.99629,                   1,               0.995,             0.89908,            0.010177,             0.03324,           0.0035761,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015644,            0.041834,           0.0047389,             0.99635,                   1,               0.995,             0.91101,           0.0086051,            0.032025,           0.0035611,            0.002575,            0.002575,            0.002575
                 152,            0.014632,            0.047979,           0.0044915,             0.99645,                   1,               0.995,             0.91108,           0.0086061,             0.03195,            0.003541,           0.0025255,           0.0025255,           0.0025255
                 153,            0.013606,            0.044346,           0.0040144,             0.99655,                   1,               0.995,             0.91193,           0.0085691,            0.031911,           0.0035081,            0.002476,            0.002476,            0.002476
                 154,            0.014113,            0.042688,           0.0041003,             0.99582,                   1,               0.995,             0.92291,            0.010658,            0.035779,           0.0034037,           0.0024265,           0.0024265,           0.0024265
                 155,            0.017011,            0.046429,           0.0040583,             0.99659,                   1,               0.995,             0.86585,            0.013528,            0.037081,           0.0033337,            0.002377,            0.002377,            0.002377
                 156,            0.020365,            0.049375,           0.0041949,              0.9964,                   1,               0.995,             0.88805,            0.012377,            0.034164,           0.0032796,           0.0023275,           0.0023275,           0.0023275
                 157,            0.017791,            0.049985,           0.0037153,             0.99662,                   1,               0.995,             0.90968,            0.010322,            0.033267,           0.0032483,            0.002278,            0.002278,            0.002278
                 158,            0.015131,            0.046381,           0.0042262,             0.99659,                   1,               0.995,             0.92167,           0.0092876,            0.032123,           0.0032134,           0.0022285,           0.0022285,           0.0022285
                 159,            0.013082,            0.038251,           0.0038758,             0.99703,                   1,               0.995,              0.9199,           0.0086849,            0.030938,           0.0031902,            0.002179,            0.002179,            0.002179
                 160,            0.013658,            0.041802,           0.0041269,             0.99705,                   1,               0.995,             0.91709,           0.0087136,            0.031874,           0.0031671,           0.0021295,           0.0021295,           0.0021295
                 161,            0.013554,            0.037351,            0.003772,             0.99704,                   1,               0.995,             0.91283,           0.0083844,            0.031525,           0.0031361,             0.00208,             0.00208,             0.00208
                 162,            0.012983,            0.043551,           0.0037757,             0.99747,                   1,               0.995,             0.90128,            0.010339,            0.032844,           0.0030672,           0.0020305,           0.0020305,           0.0020305
                 163,            0.014914,            0.042505,           0.0037809,             0.99705,                   1,               0.995,             0.85492,              0.0161,            0.038583,           0.0029875,            0.001981,            0.001981,            0.001981
                 164,            0.019037,            0.054802,           0.0038384,             0.99699,                   1,               0.995,             0.89863,            0.010133,              0.0319,           0.0029881,           0.0019315,           0.0019315,           0.0019315
                 165,            0.015485,            0.044759,           0.0036744,             0.99732,                   1,               0.995,             0.90538,           0.0089604,            0.031332,           0.0029347,            0.001882,            0.001882,            0.001882
