               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11976,             0.12571,            0.051345,           0.0011364,              0.0625,           0.0010568,          0.00010568,             0.13165,            0.068873,            0.053696,              0.0003,              0.0003,              0.0973
                   1,             0.11863,             0.11546,            0.051284,                   0,                   0,                   0,                   0,             0.12828,            0.072427,            0.052806,          0.00069653,          0.00069653,            0.093697
                   2,             0.11543,             0.11531,            0.050054,           0.0061186,             0.14286,           0.0054367,             0.00152,             0.12434,            0.076151,            0.051607,           0.0010891,           0.0010891,            0.090089
                   3,             0.10858,             0.11518,            0.050141,            0.014286,            0.071429,           0.0097088,           0.0019418,             0.11708,            0.082453,            0.049805,           0.0014777,           0.0014777,            0.086478
                   4,             0.10499,             0.15054,            0.048029,           0.0043261,             0.14286,            0.012125,           0.0036374,             0.10954,            0.088238,            0.047645,           0.0018624,           0.0018624,            0.082862
                   5,            0.091914,             0.11495,             0.04252,           0.0087879,             0.28571,            0.017771,            0.002091,              0.1045,            0.091809,            0.045964,           0.0022431,           0.0022431,            0.079243
                   6,            0.094291,             0.18177,            0.044824,            0.022634,             0.76786,            0.067352,            0.019885,             0.09199,            0.097756,            0.042874,           0.0026198,           0.0026198,             0.07562
                   7,            0.091422,             0.11599,            0.044827,            0.027209,             0.83929,             0.19575,            0.060826,            0.082846,             0.10134,            0.039715,           0.0029926,           0.0029926,            0.071993
                   8,            0.086809,              0.1364,            0.041586,             0.17042,             0.23214,             0.25226,             0.12763,            0.073936,             0.10144,            0.036638,           0.0033614,           0.0033614,            0.068361
                   9,            0.079538,             0.13286,            0.036254,             0.19913,             0.46429,             0.32116,              0.1584,            0.070243,             0.10111,            0.034171,           0.0037263,           0.0037263,            0.064726
                  10,            0.086195,             0.13203,            0.038344,             0.14548,                0.75,             0.31077,             0.15769,            0.068326,             0.10385,            0.031564,           0.0040871,           0.0040871,            0.061087
                  11,             0.07538,             0.12362,            0.033754,             0.15493,             0.57666,             0.44284,              0.1926,            0.065888,              0.1182,            0.029316,           0.0044441,           0.0044441,            0.057444
                  12,            0.079219,             0.11566,            0.035083,             0.65359,              0.5429,             0.51576,             0.18255,            0.061655,             0.13478,            0.027301,           0.0047971,           0.0047971,            0.053797
                  13,            0.075962,             0.10755,            0.033425,             0.48415,             0.54464,             0.29549,            0.069207,            0.062945,             0.15224,            0.025059,           0.0051461,           0.0051461,            0.050146
                  14,            0.074729,             0.14082,            0.032725,             0.95397,             0.17857,             0.40469,             0.16679,             0.07418,             0.17231,            0.022198,           0.0054911,           0.0054911,            0.046491
                  15,            0.076606,             0.10108,            0.030072,             0.95397,             0.17857,             0.40469,             0.16679,             0.07418,             0.17231,            0.022198,           0.0058322,           0.0058322,            0.042832
                  16,            0.078651,             0.11365,             0.03053,            0.086167,             0.41667,             0.24887,            0.088732,            0.077476,             0.16015,            0.021017,           0.0061694,           0.0061694,            0.039169
                  17,            0.076737,             0.11293,            0.028992,             0.90089,             0.23214,             0.29483,             0.10141,            0.062742,              0.0794,            0.021407,           0.0065025,           0.0065025,            0.035503
                  18,            0.080319,            0.099062,            0.028726,             0.90089,             0.23214,             0.29483,             0.10141,            0.062742,              0.0794,            0.021407,           0.0068318,           0.0068318,            0.031832
                  19,            0.076308,            0.091989,            0.028693,             0.91813,             0.18862,             0.32494,            0.095652,            0.066812,            0.069447,            0.026102,            0.007157,            0.007157,            0.028157
