               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11963,             0.12254,            0.051159,           0.0011521,              0.0625,          0.00093174,          9.3174e-05,             0.13143,            0.069404,            0.053698,              0.0006,              0.0006,              0.0946
                   1,              0.1174,             0.11672,            0.051321,           0.0034464,              0.1875,           0.0030404,           0.0011705,             0.12789,            0.073594,            0.052551,           0.0012936,           0.0012936,            0.088294
                   2,             0.11365,             0.12378,            0.049743,            0.010881,             0.17857,            0.012834,           0.0027787,             0.12209,            0.079021,            0.050841,           0.0019802,           0.0019802,             0.08198
                   3,              0.1067,             0.12462,            0.049177,           0.0025253,            0.017857,           0.0023353,          0.00070058,             0.11886,            0.083062,            0.050042,           0.0026599,           0.0026599,             0.07566
                   4,             0.10251,             0.15924,            0.048319,            0.019069,                 0.5,            0.025531,           0.0058439,             0.10545,            0.094034,            0.047956,           0.0033327,           0.0033327,            0.069333
                   5,            0.096023,             0.13695,            0.045726,            0.023023,             0.76786,             0.11295,            0.018345,            0.089646,             0.10239,            0.044505,           0.0039985,           0.0039985,            0.062999
                   6,            0.090986,             0.13773,            0.043475,            0.023023,             0.76786,             0.11295,            0.018345,            0.089646,             0.10239,            0.044505,           0.0046574,           0.0046574,            0.056657
                   7,            0.090122,             0.14318,            0.041864,             0.14074,            0.089286,             0.11765,             0.02288,            0.079514,             0.10645,            0.043505,           0.0053094,           0.0053094,            0.050309
                   8,            0.087606,             0.15954,            0.040974,             0.22537,             0.61315,             0.33837,             0.12353,            0.071606,             0.10581,            0.038031,           0.0059545,           0.0059545,            0.043954
                   9,            0.084091,             0.15093,             0.03905,             0.22537,             0.61315,             0.33837,             0.12353,            0.071606,             0.10581,            0.038031,           0.0065926,           0.0065926,            0.037593
                  10,            0.089418,             0.14819,            0.038607,             0.48728,                0.25,             0.29825,             0.11531,            0.067253,             0.10513,            0.034503,           0.0072238,           0.0072238,            0.031224
                  11,            0.082682,             0.14501,            0.037402,             0.48728,                0.25,             0.29825,             0.11531,            0.067253,             0.10513,            0.034503,           0.0078481,           0.0078481,            0.024848
                  12,            0.086835,             0.14445,            0.036468,             0.16111,              0.6875,             0.39096,             0.12234,            0.066058,              0.1068,            0.032494,           0.0084654,           0.0084654,            0.018465
                  13,             0.08531,             0.13226,            0.036853,             0.16111,              0.6875,             0.39096,             0.12234,            0.066058,              0.1068,            0.032494,           0.0090758,           0.0090758,            0.012076
                  14,            0.082587,             0.13281,            0.035392,            0.058614,             0.44048,            0.095299,            0.021826,            0.068881,               0.114,            0.032459,            0.009307,            0.009307,            0.009307
                  15,            0.076241,               0.117,            0.034802,            0.058614,             0.44048,            0.095299,            0.021826,            0.068881,               0.114,            0.032459,            0.009307,            0.009307,            0.009307
                  16,             0.08485,             0.11773,            0.033061,            0.060707,             0.43452,            0.095905,            0.038826,            0.071136,             0.11306,            0.024585,           0.0092575,           0.0092575,           0.0092575
                  17,            0.088281,             0.10676,            0.033356,            0.060707,             0.43452,            0.095905,            0.038826,            0.071136,             0.11306,            0.024585,            0.009208,            0.009208,            0.009208
                  18,            0.087766,             0.10068,             0.03274,            0.060707,             0.43452,            0.095905,            0.038826,            0.071136,             0.11306,            0.024585,           0.0091585,           0.0091585,           0.0091585
                  19,            0.086729,            0.099402,            0.032566,             0.15738,             0.64732,             0.29095,             0.10953,            0.068957,             0.11512,            0.021844,            0.009109,            0.009109,            0.009109
                  20,            0.088265,             0.10282,            0.028286,             0.15738,             0.64732,             0.29095,             0.10953,            0.068957,             0.11512,            0.021844,           0.0090595,           0.0090595,           0.0090595
                  21,            0.082337,             0.10803,            0.028511,             0.14004,                 0.5,             0.29415,             0.10701,            0.060613,            0.088782,            0.020679,             0.00901,             0.00901,             0.00901
                  22,            0.084557,             0.10744,            0.030796,             0.17055,              0.4375,             0.34066,             0.11597,            0.060613,            0.088782,            0.020679,           0.0089605,           0.0089605,           0.0089605
                  23,            0.080706,             0.11858,            0.029272,             0.11848,             0.48102,              0.2887,             0.10909,             0.05575,            0.079871,            0.020133,            0.008911,            0.008911,            0.008911
                  24,            0.075956,             0.11992,            0.028318,             0.17351,               0.375,             0.31235,             0.12308,             0.05575,            0.079871,            0.020133,           0.0088615,           0.0088615,           0.0088615
                  25,            0.068905,             0.10464,            0.028175,            0.035745,             0.52232,            0.044832,            0.018941,            0.080262,            0.074062,            0.022795,            0.008812,            0.008812,            0.008812
                  26,            0.089218,            0.080426,            0.025369,            0.035745,             0.52232,            0.044832,            0.018941,            0.080262,            0.074062,            0.022795,           0.0087625,           0.0087625,           0.0087625
                  27,             0.09068,            0.095587,            0.026535,            0.035745,             0.52232,            0.044832,            0.018941,            0.080262,            0.074062,            0.022795,            0.008713,            0.008713,            0.008713
                  28,            0.092515,            0.096169,            0.027132,              0.0379,             0.46875,            0.065978,            0.027317,            0.077772,            0.068798,            0.022534,           0.0086635,           0.0086635,           0.0086635
                  29,             0.09086,             0.09963,            0.026962,              0.0379,             0.46875,            0.065978,            0.027317,            0.077772,            0.068798,            0.022534,            0.008614,            0.008614,            0.008614
                  30,             0.08842,            0.093213,             0.02521,              0.9793,             0.19778,             0.31468,             0.13689,            0.072942,            0.057705,            0.020719,           0.0085645,           0.0085645,           0.0085645
                  31,            0.090285,            0.094204,             0.02547,              0.9793,             0.19778,             0.31468,             0.13689,            0.072942,            0.057705,            0.020719,            0.008515,            0.008515,            0.008515
                  32,            0.088582,            0.084627,             0.02631,             0.63869,             0.52898,             0.56046,             0.16803,            0.064857,            0.059371,            0.019648,           0.0084655,           0.0084655,           0.0084655
                  33,            0.086667,            0.087169,            0.023854,             0.63869,             0.52898,             0.56046,             0.16803,            0.064857,            0.059371,            0.019648,            0.008416,            0.008416,            0.008416
                  34,            0.086026,            0.079824,            0.024325,             0.63869,             0.52898,             0.56046,             0.16803,            0.064857,            0.059371,            0.019648,           0.0083665,           0.0083665,           0.0083665
                  35,            0.088917,            0.067423,            0.023266,             0.63009,             0.46875,             0.57153,             0.19146,            0.066199,            0.058411,            0.018628,            0.008317,            0.008317,            0.008317
                  36,            0.095197,             0.07942,            0.024714,             0.63009,             0.46875,             0.57153,             0.19146,            0.066199,            0.058411,            0.018628,           0.0082675,           0.0082675,           0.0082675
                  37,            0.085021,             0.07836,            0.022792,             0.58388,             0.45536,             0.52337,             0.22094,            0.062513,            0.061261,            0.017738,            0.008218,            0.008218,            0.008218
                  38,            0.086555,            0.077356,            0.022942,             0.58388,             0.45536,             0.52337,             0.22094,            0.062513,            0.061261,            0.017738,           0.0081685,           0.0081685,           0.0081685
                  39,            0.088992,            0.089538,            0.023447,             0.84313,             0.40848,             0.49312,             0.11378,            0.061593,            0.066014,            0.016319,            0.008119,            0.008119,            0.008119
                  40,            0.082678,            0.084784,            0.023864,             0.84313,             0.40848,             0.49312,             0.11378,            0.061593,            0.066014,            0.016319,           0.0080695,           0.0080695,           0.0080695
                  41,            0.080739,            0.083417,             0.02152,             0.72989,             0.45312,             0.38489,             0.15889,            0.062274,             0.05886,            0.014727,             0.00802,             0.00802,             0.00802
                  42,            0.085122,            0.091049,            0.022135,             0.72989,             0.45312,             0.38489,             0.15889,            0.062274,             0.05886,            0.014727,           0.0079705,           0.0079705,           0.0079705
