               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11976,             0.12571,            0.051345,           0.0011364,              0.0625,           0.0010568,          0.00010568,             0.13165,            0.068873,            0.053696,              0.0003,              0.0003,              0.0973
                   1,             0.11863,             0.11547,            0.051283,            0.003201,              0.1875,           0.0026136,          0.00097731,             0.12827,            0.072433,            0.052805,          0.00069827,          0.00069827,            0.093698
                   2,             0.11542,             0.11532,            0.050052,           0.0061186,             0.14286,           0.0054367,             0.00152,             0.12432,             0.07617,            0.051601,           0.0010946,           0.0010946,            0.090095
                   3,             0.10854,             0.11523,            0.050136,           0.0080753,             0.16071,           0.0094146,            0.001289,             0.11695,             0.08252,            0.049781,           0.0014889,           0.0014889,            0.086489
                   4,             0.10494,             0.15065,            0.048007,           0.0063378,             0.26786,            0.017533,           0.0040462,             0.10931,            0.088255,             0.04763,           0.0018812,           0.0018812,            0.082881
                   5,            0.091882,             0.11499,            0.042523,           0.0073656,             0.39286,            0.025537,           0.0062015,              0.1047,            0.091487,            0.046045,           0.0022715,           0.0022715,            0.079272
                   6,             0.09414,             0.18215,            0.044769,            0.023599,             0.76786,            0.070143,            0.024543,            0.091237,            0.097829,            0.042857,           0.0026599,           0.0026599,             0.07566
                   7,            0.091283,             0.11613,            0.044807,            0.024168,             0.80357,             0.10969,             0.03617,            0.083007,             0.10137,            0.039595,           0.0030463,           0.0030463,            0.072046
                   8,             0.08654,             0.13673,            0.041456,             0.15839,             0.26786,             0.25879,             0.11807,            0.073859,               0.102,            0.036412,           0.0034307,           0.0034307,            0.068431
                   9,            0.079256,             0.13281,            0.036138,             0.32506,             0.33929,             0.33147,             0.14123,            0.070701,             0.10126,            0.034134,           0.0038131,           0.0038131,            0.064813
                  10,            0.085748,              0.1316,            0.038261,             0.15446,             0.72263,             0.33367,             0.17154,            0.068696,             0.10448,             0.03129,           0.0041936,           0.0041936,            0.061194
                  11,            0.074936,             0.12308,            0.033539,             0.27383,             0.46429,             0.45063,             0.12351,            0.064938,             0.11375,            0.030965,            0.004572,            0.004572,            0.057572
                  12,            0.078691,             0.11504,            0.034874,             0.19071,                0.75,             0.53157,             0.15776,             0.06354,             0.12788,            0.029783,           0.0049485,           0.0049485,            0.053949
                  13,            0.075349,             0.10726,            0.033201,             0.36446,             0.35714,             0.24557,            0.045866,            0.063859,             0.13786,            0.028689,            0.005323,            0.005323,            0.050323
                  14,            0.075186,             0.13938,            0.032706,             0.10854,             0.54167,             0.20062,            0.078105,            0.074891,             0.17057,            0.023141,           0.0056956,           0.0056956,            0.046696
                  15,            0.076921,             0.10029,            0.029711,             0.10854,             0.54167,             0.20062,            0.078105,            0.074891,             0.17057,            0.023141,           0.0060661,           0.0060661,            0.043066
                  16,            0.077807,             0.11278,            0.030488,             0.87981,             0.17857,             0.21159,            0.070077,            0.071874,              0.1499,            0.022756,           0.0064347,           0.0064347,            0.039435
                  17,            0.077222,             0.11045,            0.028908,             0.10457,             0.53571,             0.23738,            0.058723,            0.072236,            0.078965,            0.022376,           0.0068013,           0.0068013,            0.035801
                  18,            0.085186,            0.093569,            0.028595,             0.10457,             0.53571,             0.23738,            0.058723,            0.072236,            0.078965,            0.022376,           0.0071659,           0.0071659,            0.032166
                  19,            0.080077,            0.089839,            0.028598,             0.95706,             0.20408,             0.33714,            0.079458,            0.066104,            0.073784,            0.022475,           0.0075285,           0.0075285,            0.028529
                  20,            0.086635,             0.09837,             0.02851,             0.93783,             0.21429,             0.33844,             0.11752,            0.075012,            0.060303,            0.020005,           0.0078891,           0.0078891,            0.024889
                  21,            0.085637,            0.085233,            0.028118,             0.93783,             0.21429,             0.33844,             0.11752,            0.075012,            0.060303,            0.020005,           0.0082478,           0.0082478,            0.021248
                  22,            0.082572,            0.092683,            0.027708,             0.86179,             0.14732,             0.20784,            0.099788,            0.075252,            0.082106,            0.018226,           0.0086045,           0.0086045,            0.017605
                  23,            0.084499,            0.094773,            0.024778,             0.86179,             0.14732,             0.20784,            0.099788,            0.075252,            0.082106,            0.018226,           0.0089592,           0.0089592,            0.013959
                  24,            0.080102,             0.10262,            0.025708,             0.34807,              0.3817,             0.10187,            0.037778,            0.070683,            0.068873,            0.017706,           0.0093119,           0.0093119,            0.010312
