               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12056,             0.11429,            0.051008,                   0,                   0,                   0,                   0,             0.13231,            0.068141,            0.053648,              0.0001,              0.0001,              0.0991
                   1,             0.11853,             0.12759,             0.05103,           0.0011521,              0.0625,           0.0010267,          0.00010267,              0.1307,            0.069767,            0.053256,          0.00029851,          0.00029851,            0.097299
                   2,             0.11714,              0.1126,            0.050408,             0.01087,            0.035714,           0.0076558,          0.00076558,             0.12728,             0.07279,            0.052386,          0.00049505,          0.00049505,            0.095495
                   3,             0.11235,             0.10336,            0.051028,           0.0074383,             0.20536,           0.0058807,           0.0015437,             0.12238,            0.076941,            0.051158,           0.0006896,           0.0006896,             0.09369
                   4,             0.10925,             0.13174,            0.048927,           0.0080645,            0.035714,           0.0057045,          0.00057045,             0.11666,            0.081808,            0.049832,          0.00088218,          0.00088218,            0.091882
                   5,             0.10353,             0.13301,             0.04822,            0.012179,             0.30357,            0.019728,           0.0056269,             0.11036,            0.086697,            0.048379,           0.0010728,           0.0010728,            0.090073
                   6,             0.10286,              0.1147,            0.048079,            0.013426,             0.32143,            0.022601,           0.0058294,             0.10312,            0.091661,            0.046468,           0.0012614,           0.0012614,            0.088261
                   7,            0.095244,             0.14259,            0.045805,            0.014881,             0.44643,            0.029389,            0.008804,            0.094739,            0.095715,            0.044117,            0.001448,            0.001448,            0.086448
                   8,            0.090272,             0.15552,              0.0443,            0.013235,             0.32143,            0.030287,           0.0096927,            0.089725,            0.097664,            0.042886,           0.0016327,           0.0016327,            0.084633
                   9,            0.092558,             0.14568,            0.043545,            0.029909,             0.92857,            0.051096,            0.021213,            0.084432,             0.09965,            0.041225,           0.0018154,           0.0018154,            0.082815
                  10,            0.089905,             0.13146,            0.041855,            0.032259,             0.96429,            0.077977,            0.034312,            0.079136,             0.10121,            0.039544,            0.001996,            0.001996,            0.080996
                  11,            0.088314,             0.15447,            0.040883,             0.13687,             0.26786,               0.174,             0.10731,            0.075102,             0.10098,            0.037726,           0.0021748,           0.0021748,            0.079175
