               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11992,             0.11758,            0.050634,           0.0099429,             0.26786,           0.0091355,            0.001385,             0.13254,            0.067531,            0.052825,                   0,                   0,                 0.1
                   1,              0.1195,             0.11183,             0.05122,                   0,                   0,                   0,                   0,             0.13166,            0.068584,            0.053535,          9.9505e-05,          9.9505e-05,              0.0991
                   2,             0.11761,             0.10979,            0.051089,           0.0024038,                0.25,           0.0023918,          0.00047837,                0.13,            0.070176,            0.053125,          0.00019802,          0.00019802,            0.098198
                   3,             0.11634,              0.1271,             0.05122,           0.0023644,              0.1875,           0.0020454,          0.00020454,              0.1279,            0.072054,            0.052751,          0.00029554,          0.00029554,            0.097296
                   4,              0.1152,             0.10373,            0.050716,           0.0043099,              0.3125,           0.0036906,          0.00087092,             0.12457,            0.074976,             0.05212,          0.00039208,          0.00039208,            0.096392
                   5,             0.11248,             0.10633,             0.04999,           0.0085116,             0.33036,           0.0074371,           0.0018084,             0.12038,            0.078354,            0.051354,          0.00048762,          0.00048762,            0.095488
                   6,             0.11012,             0.11543,            0.049868,           0.0069016,             0.26786,           0.0075482,           0.0022101,             0.11539,            0.082307,            0.050437,          0.00058218,          0.00058218,            0.094582
                   7,              0.1059,             0.11762,            0.049273,           0.0098885,             0.28571,            0.010975,           0.0033755,             0.10928,             0.08663,             0.04904,          0.00067574,          0.00067574,            0.093676
                   8,             0.10067,             0.13411,            0.048123,           0.0089978,             0.28571,            0.012177,            0.004249,             0.10378,            0.090368,            0.047629,          0.00076832,          0.00076832,            0.092768
                   9,             0.10042,             0.14183,            0.046805,            0.013393,             0.49107,            0.023357,           0.0051236,            0.096897,            0.094418,            0.046018,          0.00085991,          0.00085991,             0.09186
                  10,            0.096783,             0.14064,            0.045649,            0.012489,             0.49107,            0.029771,           0.0063349,            0.091126,            0.097198,             0.04435,           0.0009505,           0.0009505,            0.090951
                  11,            0.096276,             0.13384,            0.044417,            0.018483,             0.71429,             0.04968,            0.010744,            0.085694,            0.099478,            0.042598,           0.0010401,           0.0010401,             0.09004
                  12,            0.091528,             0.14744,            0.043407,            0.022473,             0.76786,             0.29921,            0.042645,            0.080595,             0.10087,             0.04075,           0.0011287,           0.0011287,            0.089129
                  13,            0.092113,             0.14822,            0.042438,            0.090332,             0.52679,              0.3492,            0.062143,            0.076493,              0.1009,            0.039017,           0.0012163,           0.0012163,            0.088216
                  14,            0.087831,             0.15129,            0.041084,             0.13856,             0.41964,             0.25249,            0.070486,            0.073019,            0.099728,            0.037202,            0.001303,            0.001303,            0.087303
                  15,            0.088828,             0.15806,            0.039892,             0.16008,             0.55357,             0.24507,             0.13204,            0.072048,            0.097177,            0.035561,           0.0013886,           0.0013886,            0.086389
                  16,            0.086433,             0.16067,            0.039911,             0.71102,             0.17857,             0.28021,             0.15753,            0.070855,            0.098763,            0.034036,           0.0014733,           0.0014733,            0.085473
                  17,            0.081852,             0.14637,            0.038236,             0.14103,             0.28571,             0.28689,             0.15697,            0.068724,             0.10838,            0.032573,           0.0015569,           0.0015569,            0.084557
                  18,            0.080837,             0.13888,            0.037304,             0.15177,             0.48214,             0.30832,             0.14845,            0.064863,             0.12353,            0.030997,           0.0016396,           0.0016396,             0.08364
                  19,            0.080775,             0.14464,            0.036037,             0.39224,             0.35714,             0.44651,             0.19628,            0.061922,             0.14485,             0.02963,           0.0017213,           0.0017213,            0.082721
                  20,            0.072483,             0.10646,            0.035878,             0.72638,                 0.5,             0.40913,             0.18448,            0.057854,             0.16271,            0.028079,            0.001802,            0.001802,            0.081802
                  21,            0.076116,             0.10113,             0.03548,             0.68947,             0.38906,             0.46823,             0.19161,            0.054073,             0.17697,            0.026768,           0.0018817,           0.0018817,            0.080882
                  22,            0.066466,            0.094612,            0.033469,             0.62342,               0.375,             0.35227,             0.15517,            0.052678,             0.18977,            0.025664,           0.0019604,           0.0019604,             0.07996
